ファイルNo.,ファイルパス,行数,ID,種別,ステータスコード,"エラー内容(エラーコード, フィールド名, メッセージ)"
1,/rm_misc.csv,28,18561741,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,29,18561740,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,30,18561744,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,31,18561746,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,32,18561714,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,33,18561713,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,34,18561745,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,35,18561748,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,36,18561747,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,37,18561749,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,38,18561715,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,39,18561716,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,40,18561753,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,41,18561752,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,42,18561751,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,43,18561750,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,44,18561717,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,45,18561754,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,46,18561756,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,47,18561755,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,48,18561757,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,49,18561758,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,50,18561719,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,51,18561718,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,52,18561720,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,53,18561759,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,54,18561722,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,55,18561760,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,56,18561761,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,57,18561763,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,58,18561762,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,59,18561723,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,60,18561769,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,61,18561768,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,62,18561767,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,63,18561765,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,64,18561764,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,65,18561781,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,66,18561772,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,67,18561771,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,68,18561770,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,69,18561724,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,70,18561773,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,71,18561774,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,72,18561776,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,73,18561778,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,74,21725797,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725797]。"
1,/rm_misc.csv,75,16639252,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639252]。"
1,/rm_misc.csv,76,16639255,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639255]。"
1,/rm_misc.csv,77,16639260,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639260]。"
1,/rm_misc.csv,78,16639261,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639261]。"
1,/rm_misc.csv,79,21725804,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725804]。"
1,/rm_misc.csv,80,21725786,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725786]。"
1,/rm_misc.csv,81,21725785,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725785]。"
1,/rm_misc.csv,82,21725780,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725780]。"
1,/rm_misc.csv,83,21725779,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725779]。"
1,/rm_misc.csv,84,21725778,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725778]。"
1,/rm_misc.csv,85,21725765,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725765]。"
1,/rm_misc.csv,86,21725764,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725764]。"
1,/rm_misc.csv,87,21725762,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725762]。"
1,/rm_misc.csv,88,5419319,misc,404,"not_found,,指定されたリソースが見つかりませんでした[5419319]。"
1,/rm_misc.csv,89,21725759,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725759]。"
1,/rm_misc.csv,90,21725756,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725756]。"
1,/rm_misc.csv,91,21725755,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725755]。"
1,/rm_misc.csv,92,52626246,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,93,52626244,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,94,34790130,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,95,34790128,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,96,37841135,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,97,37278444,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,98,37658200,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,99,25165662,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,100,25165741,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,101,25165738,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,102,25756974,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,103,25165651,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,104,35290508,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,105,37658217,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,106,35562831,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,107,18561730,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,108,37372466,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,109,37658230,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,110,18561711,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,111,18561712,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,112,18561779,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,113,18561721,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,114,18561725,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,115,18561726,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,116,18561775,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,117,18561727,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,118,18561777,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,119,40863384,misc,404,"not_found,,指定されたリソースが見つかりませんでした[40863384]。"
1,/rm_misc.csv,120,40461088,misc,404,"not_found,,指定されたリソースが見つかりませんでした[40461088]。"
1,/rm_misc.csv,121,16639240,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639240]。"
1,/rm_misc.csv,122,16639239,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639239]。"
1,/rm_misc.csv,123,21725798,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725798]。"
1,/rm_misc.csv,124,16639262,misc,404,"not_found,,指定されたリソースが見つかりませんでした[16639262]。"
1,/rm_misc.csv,125,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,126,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,127,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,128,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,129,,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,130,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,131,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,132,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,133,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,134,,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,135,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,136,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,137,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,138,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,139,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,140,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,141,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,142,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,143,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,144,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,145,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,146,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,147,,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,148,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,149,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,150,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,151,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,152,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,153,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,154,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,155,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,156,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,157,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,158,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,159,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,160,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,161,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,162,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,163,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,164,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,165,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,166,,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,167,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,168,52605474,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,169,37809284,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,170,37809281,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,171,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,172,40806522,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,173,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,174,26333246,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,175,19346920,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,176,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,177,37282813,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,178,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,179,25165760,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,180,39617912,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,181,37485861,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,182,25757203,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,183,25165659,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,184,37300432,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,185,35397600,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,186,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,187,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,188,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,189,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,190,19346900,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,191,19346902,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,192,19346903,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,193,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,194,19346917,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,195,,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,196,19346908,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,197,19346909,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,198,19346915,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,199,34477179,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,200,18561780,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。
invalid_request,掲載種別(misc_type),無効な値が指定されました。"
1,/rm_misc.csv,201,,misc,400,"required_value,タイトル(日本語)(paper_title.ja),タイトル(日本語)を入力してください。
invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
