ファイルNo.,ファイルパス,行数,ID,種別,ステータスコード,"エラー内容(エラーコード, フィールド名, メッセージ)"
1,/rm_published_papers.csv,28,18561686,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561686]。"
1,/rm_published_papers.csv,29,18561689,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561689]。"
1,/rm_published_papers.csv,30,18561705,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561705]。"
1,/rm_published_papers.csv,31,18561693,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561693]。"
1,/rm_published_papers.csv,32,18561697,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561697]。"
1,/rm_published_papers.csv,33,18561696,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561696]。"
1,/rm_published_papers.csv,34,18561695,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561695]。"
1,/rm_published_papers.csv,35,18561699,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561699]。"
1,/rm_published_papers.csv,36,18561698,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561698]。"
1,/rm_published_papers.csv,37,18561707,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561707]。"
1,/rm_published_papers.csv,38,18561706,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561706]。"
1,/rm_published_papers.csv,39,18561700,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561700]。"
1,/rm_published_papers.csv,40,54067962,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,41,54067961,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,42,52773386,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,43,52773383,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,44,52798410,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,45,52596251,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,46,52626164,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,47,52404377,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,48,49296265,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,49,52654182,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,50,47559720,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,51,52667696,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,52,48512897,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,53,48468045,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,54,48468035,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,55,47462109,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,56,46220383,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,57,42193347,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,58,42924456,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,59,43332046,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,60,43332045,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,61,43468935,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,62,43468936,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,63,49662155,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,64,49662152,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,65,34790033,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,66,43332044,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,67,52667695,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,68,52667687,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,69,43332043,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,70,43307509,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,71,27921830,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,72,47101418,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,73,34384334,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,74,29750379,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,75,27921821,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,76,27921817,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,77,27921828,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,78,5419339,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,79,27921825,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,80,47074391,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,81,21725790,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,82,21725783,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,83,21725782,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,84,21725776,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,85,5370163,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,86,21725772,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,87,21725767,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,88,5419298,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,89,21725768,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,90,5419336,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,91,21725758,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,92,25241082,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,93,25241081,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,94,13000992,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,95,25757305,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[25757305]。"
1,/rm_published_papers.csv,96,25757307,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[25757307]。"
1,/rm_published_papers.csv,97,18561704,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561704]。"
1,/rm_published_papers.csv,98,18561680,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561680]。"
1,/rm_published_papers.csv,99,18561679,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561679]。"
1,/rm_published_papers.csv,100,18561678,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561678]。"
1,/rm_published_papers.csv,101,18561677,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561677]。"
1,/rm_published_papers.csv,102,18561676,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561676]。"
1,/rm_published_papers.csv,103,18561675,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561675]。"
1,/rm_published_papers.csv,104,18561683,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561683]。"
1,/rm_published_papers.csv,105,18561681,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561681]。"
1,/rm_published_papers.csv,106,18561688,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561688]。"
1,/rm_published_papers.csv,107,37620582,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[37620582]。"
1,/rm_published_papers.csv,108,18561692,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561692]。"
1,/rm_published_papers.csv,109,18561691,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561691]。"
1,/rm_published_papers.csv,110,18561690,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561690]。"
1,/rm_published_papers.csv,111,18561701,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561701]。"
1,/rm_published_papers.csv,112,18561703,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561703]。"
1,/rm_published_papers.csv,113,18561702,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561702]。"
1,/rm_published_papers.csv,114,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,115,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,116,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,117,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,118,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,119,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,120,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,121,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,122,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,123,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,124,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,125,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,126,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,127,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,128,47226653,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,129,43468934,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,130,43352268,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,131,43468937,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,132,47090286,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,133,26333096,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,134,29657893,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,135,27808265,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,136,,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,137,21725757,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,138,26275041,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,139,27535029,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
