misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,,,Estimation of Lighting Direction Based on Structural Coloration,Estimation of Lighting Direction Based on Structural Coloration,,"Yuki Uranishi, Masataka Imura",null,,,,,2016-08,第19回画像の認識・理解シンポジウム Extended Abstract,,,,,,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,5D Estimation of Transparent Object based on Light Field Convergency,5D Estimation of Transparent Object based on Light Field Convergency,,"Yuta Ideguchi, Yuki Uranishi, Shunsuke Yoshimoto, Yoshihiro Kuroda, Osamu Oshiro",null,,,,,2016-08,第19回画像の認識・理解シンポジウム Extended Abstract [Oral],,,,,,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,医療機器と病院情報システムを接続する試み,,"江指未紗, 中野友裕, 岩尾友秀, 浦西友樹, 岡本和也, 加藤源太, 齊藤永, 田村寛, 野間春生, 黒田知宏",,null,,,,,2016-04,第55回日本生体医工学会大会 プログラム・抄録集,,54,,140,140,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,25165760,Graph databases for openEHR repositories,Graph databases for openEHR repositories,,"Samar El Helou, Naoto Kume, Shinji Kobayashi, Eiji Kondo, Yuki Uranishi, Kazuya Okamoto, Hiroshi Tamura, Tomohiro Kuroda",null,,,,,2016-08,,European Journal of Epidemiology,31,"1,Suppl.,",S48,S49,eng,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
update,doc,,25165659,Design of Archetype-based Clinical Concept Models: Towards Interoperable Antenatal Care EHR Systems,Design of Archetype-based Clinical Concept Models: Towards Interoperable Antenatal Care EHR Systems,,"Samar El Helou, Naoto Kume, Yuki Uranishi, Shinji Kobayashi, Eiji Kondo, Kazuya Okamoto, Hiroshi Tamura, Tomohiro Kuroda",null,,,,,2015-11,,Proceedings of Joint Conference on Medical Informatics,35回,,250,253,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,35397600,"コンピュータビジョン-アルゴリズムと応用-, Richard Szeliski著, 玉木徹ほか訳, 出版社共立出版, 発行2013年3月, 全ページ836頁, 価格16,000円, ISBN978-4-320-12328-1",,浦西 友樹,,null,,,,,2014-10,システム/制御/情報 : システム制御情報学会誌,,58,10,439,439,jpn,null,null,introduction_scientific_journal,null,null,,,,,,FALSE,disclosed
update,doc,,18561729,シーンの色と形状に基づく高視認面へのプロジェクション,,"團原佑壮, 浦西友樹, 吉元俊輔, 井村誠孝, 大城理",,null,,,,,2014-05,第58回システム制御情報学会研究発表講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561728,伸縮および振動制御による力触覚提示可能なスタイラス,,"長坂信吾, 浦西友樹, 吉元俊輔, 井村誠孝, 大城理",,null,,,,,2014-05,第58回システム制御情報学会研究発表講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561732,爪側からの光計測による指先の押下力推定,,"豆野裕信, 井村誠孝, 浦西友樹, 吉元俊輔, 黒田嘉宏, 大城理",,null,,,,,2014-03,平成26年電気学会全国大会,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561735,気管内圧を考慮した肺変形シミュレーション,,"和田章宏, 井村誠孝, 黒田嘉宏, 浦西友樹, 大城理",,null,,,,,2014-01,計測自動制御学会関西支部・システム制御情報学会若手研究発表会 講演論文集,,,,89,92,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561734,話者の非言語情報によるプレゼンテーション装飾システム,,"籏岡亮, 井村誠孝, 浦西友樹, 大城理",,null,,,,,2014-01,計測自動制御学会関西支部・システム制御情報学会若手研究発表会 講演論文集,,,,125,128,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561733,屋外プロジェクションのための視認性に基づく投影面選択,,"團原佑壮, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理, 山本豪志朗",,null,,,,,2014-01,計測自動制御学会関西支部・システム制御情報学会若手研究発表会 講演論文集,,,,121,124,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561737,タブレット端末と伸縮かつ振動可能なペンを用いた質感提示,,"長坂信吾, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-11,電気関係学会関西支部連合大会 予稿集,,,,437,438,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561736,摂取水分量計測のための嚥下音の解析,,"中藤寛己, 井村誠孝, 黒田嘉宏, 浦西友樹, 大城理",,null,,,,,2013-11,自動制御連合講演会 講演予稿集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561709,力覚提示によるドローイング支援システム,,"和田章宏, 井村誠孝, 黒田嘉宏, 浦西友樹, 大城理",,null,,,,,2013-11,日本バーチャルリアリティ学会 研究報告,,18,,21,24,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561710,立体音響のための骨伝導の振動伝播解析,,"松崎成敏, 黒田嘉宏, 浦西友樹, 井村誠孝, 大城理",,null,,,,,2013-10,電子情報通信学会技術研究報告,,113,241,25,30,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561743,食道の蠕動運動による食塊輸送シミュレーション,,"豆野裕信, 井村誠孝, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2013-08,第32回日本医用画像工学会大会 予稿集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561742,入力音声に応じた文字装飾が可能な電子黒板,,"籏岡亮, 井村誠孝, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2013-08,2013年映像情報メディア学会年次大会 予稿集,,,,,,jpn,null,null,summary_national_conference,null,null,10.11485/iteac.2013.0_2_1,,,,,FALSE,disclosed
update,doc,,18561741,食道の蠕動輸送シミュレーション,,"井村誠孝, 豆野裕信, 黒田嘉宏, 浦西友樹, 大城理",,null,,,,,2013-08,第13回日本VR医学会学術大会 プログラム・抄録集,,,,23,23,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561740,軽度認知症を伴う高齢者のための深度センサとプロジェクタを用いた対話的な遠隔作業教示,,"浦西友樹, 山本豪志朗, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-08,第13回日本VR医学会学術大会 プログラム・抄録集,,,,14,14,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561744,画像連結領域ラベリングのCUDAによる並列化,,"井村誠孝, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2013-06,第7回新画像システム・情報フォトニクス研究討論会 予稿集,,,,44,45,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561746,手の力学的特徴を反映した統合型投球シミュレーション,,"横畑亮輔, 井村誠孝, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2013-05,第57回システム制御情報学会研究発表講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561714,聴覚フィードバックを用いた歌唱時の音程操作,,"井手口裕太, 横畑亮輔, 井村誠孝, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2013-05,情報処理学会エンタテインメントコンピューティング研究会,,2013-EC-28,10,51,56,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561713,バーチャル空間に挿入可能な三次元スケッチペン,,"長坂信吾, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-05,情報処理学会エンタテインメントコンピューティング研究会,,2013-EC-28,1,1,7,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561745,ライトフィールドカメラを用いた煙の空間濃度分布推定,,"井手口裕太, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-05,第57回システム制御情報学会研究発表講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561748,音像定位のための骨伝導の周波数特性推定,,"松崎成敏, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-01,計測自動制御学会関西支部・システム制御情報学会若手研究発表会 講演論文集,,,,57,58,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561747,リフォーカス画像群からの煙の空間濃度分布推定,,"井手口裕太, 浦西友樹, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2013-01,計測自動制御学会関西支部・システム制御情報学会若手研究発表会 講演論文集,,,,77,80,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561749,カメラ位置・姿勢情報を考慮した画像補正に基づく射影変化にロバストな特徴点追跡,,"上月一史, 武富貴史, 浦西友樹, 山本豪志朗, 宮崎純, 加藤博一",,null,,,,,2012-12,平成24年電気関係学会関西連合大会 講演論文集,,,,474,475,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561715,表面筋電図を用いた運動予測に基づく力覚提示に関する研究,,"黒田嘉宏, Ilana Nisky, 田中岳, 浦西友樹, 井村誠孝, Allison M. Okamura, 大城理",,null,,,,,2012-11,日本バーチャルリアリティ学会 研究報告,,17,,11,14,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561716,認知症患者の在宅支援技術に関する検討,,"Jaakko Hyry, 山本豪志朗, 浦西友樹, 武富貴史, 宮崎純, Petri Pulli, 加藤博一",,null,,,,,2012-10,ヒューマンインタフェース学会 研究報告集,,14,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561753,Indication based on Grid Projection for Supporting Kitchen Work,Indication based on Grid Projection for Supporting Kitchen Work,,"Yuki Uranishi, Goshiro Yamamoto, Zeeshan Asghar, Petri Pulli, Hirokazu Kato",null,,,,,2012-09,生体医工学シンポジウム2012 講演予稿集,,,,582,582,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561752,主成分分析を用いた顔面神経麻痺度合いの40点法に基づく定量評価,,"西田武司, 浦西友樹, 松代直樹, 山本豪志朗, 武富貴史, 宮崎純, 加藤博一, 陳延偉, 千原國宏",,null,,,,,2012-09,生体医工学シンポジウム2012 講演予稿集,,,,446,446,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561751,複数の携帯型プロジェクタによる投影面合成時の相対的色補正,,"有田千紘, 山本豪志朗, 浦西友樹, 武富貴史, 宮崎純, 加藤博一",,null,,,,,2012-09,平成24年度情報処理学会関西支部 支部大会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561750,広大なディスプレイ環境におけるウィンドウ操作支援,,"久保和樹, 山本豪志朗, 武富貴史, 浦西友樹, 宮崎純, 加藤博一",,null,,,,,2012-09,平成24年度情報処理学会関西支部 支部大会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561717,カメラズームによる内部パラメータの変化を考慮した拡張現実感のためのカメラ位置・姿勢推定,,"岡田和也, 武富貴史, 山本豪志朗, 浦西友樹, 宮崎純, 加藤博一",,null,,,,,2012-09,電子情報通信学会 技術研究報告,,MVE2012-33,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561754,複合現実感における陰影表現と質感表現の統合と最適化,,"小林正英, 眞鍋佳嗣, 矢田紀子, 浦西友樹",,null,,,,,2012-05,日本色彩学会第43回全国大会 要旨集,,,,72,73,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561756,GPUを用いた複合現実感における映り込み表現の最適化,,"小林正英, 眞鍋佳嗣, 矢田紀子, 浦西友樹",,null,,,,,2011-12,映像情報メディア学会2011年冬季大会講演予稿集,,,,8,13,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561755,拡張現実のための重ね合わせと自由回転可能な円形カラーマーカの提案,,"鈴木朝日, 眞鍋佳嗣, 矢田紀子, 浦西友樹",,null,,,,,2011-12,映像情報メディア学会2011年冬季大会講演予稿集,,,,8,12,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561757,時系列画像からの顔面神経麻痺の40点法に基づく定量評価,,"西田武司, 浦西友樹, 松代直樹, 池田聖, 山本豪志郎, 宮崎純, 加藤博一, 千原國宏",,null,,,,,2011-09,平成23年度情報処理学会関西支部大会講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561758,視覚障がい者支援のための衣類の色および模様提示システムの評価,,"三宅正夫, 眞鍋佳嗣, 浦西友樹, 池田聖, 千原國宏",,null,,,,,2011-02,平成22年度日本色彩学会関西支部大会 論文集,,,,20,21,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561719,人の動作のぎこちなさ特徴の尺度化,,"山岡信介, 眞鍋佳嗣, 浦西友樹, 池田聖, 千原國宏",,null,,,,,2010-12,HCGシンポジウム2010 論文集,,,,51,54,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561718,実環境と仮想物体の相互反射を考慮したインテリアデザインシミュレータ,,"浦西友樹, 眞鍋佳嗣, 千原國宏",,null,,,,,2010-12,HCGシンポジウム2010 論文集,,,,192,195,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561720,視覚障がい者支援のための衣類の色と模様の認識,,"三宅正夫, 眞鍋佳嗣, 浦西友樹, 池田聖, 千原國宏",,null,,,,,2010-11,第4回色彩情報シンポジウム in 長野 論文集,,,,25,28,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561759,不透明物体を内包する透明物体の形状計測のためのシルエット分離抽出,,"鈴本悠輝, 浦西友樹, 眞鍋佳嗣, 千原國宏",,null,,,,,2010-09,第9回情報科学技術フォーラム 論文集,,,,183,184,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561722,ウェアラブルナビゲーションシステムのための指さし動作からの目的地候補推定,,"中久保佳幸, 佐々木博史, 浦西友樹, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-12,2009年度HCGシンポジウム 論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561760,入退出管理のための距離画像センサを用いた複数人物画像の個別分離,,"森家康文, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-11,第52回自動制御連合講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,10.11511/jacc.52.0.195.0,,,,,FALSE,disclosed
update,doc,,18561761,化粧支援のための風圧を用いた顔面上位置提示,,"木村有里, 眞鍋佳嗣, 浦西友樹, 佐々木博史, 千原國宏",,null,,,,,2009-09,平成21年度情報処理学会関西支部大会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561763,ジェスチャインタフェースのための指輪型マーカの位置姿勢推定,,"藤木健史, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-09,第14回日本バーチャルリアリティ学会大会 論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561762,ウェアラブルナビゲーションシステムのための指さしによる目的地指定インタフェース,,"中久保佳幸, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-09,第14回日本バーチャルリアリティ学会大会 論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561723,複数投影像の重畳によるHDR表示,,"三宅玲, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-07,画像の認識・理解シンポジウム2009 論文集,,,,1705,1712,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561769,高速度ステレオカメラを用いた羽ばたき動作の三次元計測,,"吉竹大輔, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-05,第53回 システム制御情報学会研究発表講演会 講演論文集,,,,113,114,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci09.0.529.0,,,,,FALSE,disclosed
update,doc,,18561768,放射照度キャッシング法による粒子群の写実的描画,,"山端寿久, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-05,第53回 システム制御情報学会研究発表講演会 講演論文集,,,,577,578,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci09.0.379.0,,,,,FALSE,disclosed
update,doc,,18561767,冷蔵庫内の在庫管理のための食材認識,,"森家康文, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-05,第53回 システム制御情報学会研究発表講演会 講演論文集,,,,263,264,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci09.0.667.0,,,,,FALSE,disclosed
update,doc,,18561765,指さしコミュニケーションのための指さし位置推定,,"中久保佳幸, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-05,第53回 システム制御情報学会研究発表講演会 講演論文集,,,,155,156,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci09.0.301.0,,,,,FALSE,disclosed
update,doc,,18561764,視覚障害者を対象とした顔面上の位置提示風圧デバイス,,"木村有里, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2009-05,第53回 システム制御情報学会研究発表講演会 講演論文集,,,,267,268,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci09.0.511.0,,,,,FALSE,disclosed
update,doc,,18561781,オープンソース画像処理ライブラリ「OpenCV」,,浦西友樹,,null,,,,,2009-03,映像情報インダストリアル,,41,3,59,63,jpn,null,null,introduction_commerce_magazine,null,null,,,,,,FALSE,disclosed
update,doc,,18561780,奈良ユニバーサロン ログ・イン 1000文字講座 物体の三次元形状を画像から知る(上・下),,浦西友樹,,null,,,,,2009-03,毎日新聞奈良版,,,,,,jpn,null,null,introduction_commerce_magazine,null,null,,,,,,FALSE,disclosed
update,doc,,18561772,複数プロジェクタによるHDR表示の性能評価,,"三宅玲, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2008-09,第13回日本バーチャルリアリティ学会大会 論文集,,,,519,522,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561771,半透明マーカによる仮想物体の積み重ね表現,,"今村昂司, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2008-09,第13回日本バーチャルリアリティ学会大会 論文集,,,,197,200,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561770,複合現実感における光沢面への立体マーカの映り込み除去,,"伊原章達, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2008-09,第13回日本バーチャルリアリティ学会大会 論文集,,,,195,196,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561724,対象に固定したカメラによる和綴じ支援のための針位置計測システム,,"加門紗香, 浦西友樹, 佐々木博史, 眞鍋佳嗣, 千原國宏",,null,,,,,2008-09,色彩情報シンポジウム in 長野 2008,,,,27,30,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561773,スリットパターンの映り込みを利用した透明物体の全周形状計測,,"辻村裕美, 浦西友樹, 坂田宗之, 眞鍋佳嗣, 千原國宏",,null,,,,,2007-11,平成19年度情報処理学会関西支部大会 講演論文集,,,,39,40,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,18561774,鏡面反射を用いた透明物体の形状計測手法,,"辻村裕美, 浦西友樹, 眞鍋佳嗣, 千原國宏",,null,,,,,2007-05,第51回 システム制御情報学会研究発表講演会 講演論文集,,,,491,492,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci07.0.117.0,,,,,FALSE,disclosed
update,doc,,18561776,魚眼レンズと円筒鏡を用いた全周形状計測手法,,"浦西友樹, 長縄美香, 眞鍋佳嗣, 千原國宏",,null,,,,,2005-05,第49回 システム制御情報学会研究発表講演会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,10.11509/sci.sci05.0.317.0,,,,,FALSE,disclosed
update,doc,,18561778,文字の配置特徴と形状特徴を用いた文字領域候補検出についての考察,,"浦西友樹, 松尾賢一, 上田勝彦",,null,,,,,2003-11,平成15年電気関係学会関西支部連合大会 講演論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
update,doc,,34861869,Evaluating Presence in VR with Self-Representing Auditory-Vibrotactile Input,Evaluating Presence in VR with Self-Representing Auditory-Vibrotactile Input,,"Guanghan Zhao, Jason Orlosky, Yuki Uranishi",null,,,,,2021-03,,2021 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),,,,,eng,null,null,summary_international_conference,null,null,10.1109/vrw52623.2021.00171,,,,,FALSE,disclosed
update,doc,,16639245,オープンソース画像処理ライブラリOpenCV:様々な環境での“Hello World“,,浦西友樹,,null,,,,,2019-05,システム制御情報学会研究発表講演会講演論文集(CD-ROM),,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,断続的に撮影された点群間の位置合わせ,,"田又健士朗, 間下以大, 浦西友樹, ラサミー ポチャラ, 竹村治雄",,null,,,,,2018-05,情報処理学会研究報告,,2018-CVIM-212,30,,,jpn,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,平行投影近似のためのライトフィールドカメラへの補助レンズの追加,,"井手口裕太, 浦西友樹, 吉元俊輔, 井村誠孝, 大城理",,null,,,,,2015-05,第59回システム制御情報学会研究発表講演会 論文集,,,,,,jpn,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,Oil Bubble Display: 油の変形・結合・分離による 投影像の形状や色とのインタラクション,,"井手口裕太, 川口純輝, 和田章宏, 浦西友樹, 吉元俊輔, 井村誠孝, 大城理",,null,,,,,2015-03,インタラクション2015 論文集,,,,1005,1009,jpn,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,光計測を用いた爪装着型指先接触力センサ,,"豆野裕信, 井村誠孝, 浦西友樹, 吉元俊輔, 大城理",,null,,,,,2014-10,電子情報通信学会 技術研究報告,,114,,21,24,jpn,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
update,doc,,16639264,Tactile Roughness Modulation of Material Surfaces Using Electrical Stimulus,Tactile Roughness Modulation of Material Surfaces Using Electrical Stimulus,,"Shunsuke Yoshimoto, Yoshihiro Kuroda, Yuki Uranishi, Masataka Imura, Osamu Oshiro",null,,,,,2014-07,,International Symposium Future of Shitsukan Research,,,,,eng,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,Channel Selection for Image Segmentation Based on User Drawn Path,Channel Selection for Image Segmentation Based on User Drawn Path,,"Victor Matsuguma, Yuki Uranishi, Masataka Imura, Shunsuke Yoshimoto, Osamu Oshiro",null,,,,,2014-07,第17回画像の認識・理解シンポジウム Extended Abstract,,,,,,eng,null,null,summary_international_conference,null,null,,,,,,FALSE,disclosed
